Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
SHERINGHAM POINT,48.377,-123.921,BC,9.5,1,NA,14.4,1,5.1,0,,,NA,128.6,1,NA,,15,,,NA,228.2,0,1017254
VICTORIA UNIVERSITY CS,48.457,-123.305,BC,8.3,1,NA,14.9,1,0,0,,,NA,82.6,8,NA,,14,,,NA,261.6,0,1018598
VICTORIA FRANCIS PARK,48.476,-123.443,BC,,,NA,,,,,0,18,NA,70,18,NA,,10,,,NA,,,1018605
VICTORIA GONZALES CS,48.413,-123.325,BC,8.9,0,NA,13.4,0,3.4,0,,,NA,71.6,8,NA,,12,,,NA,255,0,1018611
VICTORIA HIGHLANDS NORTH,48.538,-123.501,BC,8.1,14,NA,13.3,13,1.8,12,0,13,NA,113.6,13,NA,,14,,,NA,139.3,0,1018618
VICTORIA INTL A,48.647,-123.426,BC,7.8,0,NA,14.4,0,-0.5,0,0,0,NA,112,0,NA,,14,,,NA,285.7,0,1018621
WILLIAM HEAD,48.34,-123.539,BC,9.2,1,3,14,1,3.5,1,0,1,NA,83.9,1,NA,0,14,,,NA,238.6,0,1018935
BALLENAS ISLAND,49.35,-124.16,BC,8.1,0,NA,13.7,0,4,0,,,NA,103,2,NA,,12,,,NA,277.5,0,1020590
CAMPBELL RIVER A,49.952,-125.273,BC,6.3,1,3,14.4,1,-5,1,0,1,NA,154.2,1,NA,0,15,,,NA,317.2,0,1021261
CAMPBELL RIVER SURFSIDE,49.945,-125.208,BC,,,,,,,,0,0,0,146.4,0,99,0,15,,,NA,,,1021266
CAPE MUDGE,49.998,-125.195,BC,7.9,2,3.3,16,2,1.5,2,0,2,NA,73.6,2,NA,0,12,,,NA,263.1,0,1021330
CHATHAM POINT,50.333,-125.446,BC,7.8,1,3.2,12,1,1.5,1,0,1,NA,192,1,NA,0,14,,,NA,276.3,0,1021480
CHROME ISLAND,49.472,-124.683,BC,8.3,0,NA,14,0,2.5,0,0,0,NA,234.8,0,NA,0,16,,,NA,270.4,0,1021500
COMOX A,49.717,-124.9,BC,7.4,0,3.1,13.5,0,-1.1,0,0,0,0,173.3,0,152,,11,,,NA,296.9,0,1021830
CORTES ISLAND TIBER BAY,50.071,-124.949,BC,8.5,14,NA,14.4,14,-1.5,14,0,14,NA,100,14,NA,0,12,,,NA,132.8,0,1021960
COURTENAY GRANTHAM,49.763,-124.999,BC,7.6,6,NA,13.5,6,0.5,6,0,6,NA,140.1,6,NA,,13,,,NA,229.2,0,1021988
COURTENAY PUNTLEDGE,49.686,-125.033,BC,6.9,7,NA,16,4,-3,4,0,4,NA,152.1,4,NA,0,13,,,NA,232.6,0,1021989
ENTRANCE ISLAND,49.209,-123.811,BC,8.3,0,NA,13.2,0,4.5,0,,,NA,84.4,0,NA,,12,,,NA,271.1,0,1022689
FANNY ISLAND,50.454,-125.993,BC,8.3,0,NA,12.5,0,2.4,0,,,NA,167.6,7,NA,,15,,,NA,272,0,1022795
HERIOT BAY SE,50.099,-125.203,BC,7.4,4,NA,13,4,0.5,4,0,4,NA,164.8,4,NA,0,15,,,NA,254.2,0,1023462
LITTLE QUALICUM HATCHERY,49.353,-124.512,BC,6.6,0,2.9,13.5,0,-4,0,0,0,0,167.9,0,147,0,13,,,NA,319.1,0,1024638
MUD BAY,49.471,-124.794,BC,7.5,1,3.5,14,1,-1,0,0,0,0,299.4,0,160,0,15,,,NA,283,0,1025240
MYRA CREEK,49.576,-125.606,BC,5.8,4,NA,12,2,-1.5,2,0,2,NA,437.2,2,NA,0,15,,,NA,292,0,1025254
NANAIMO A,49.054,-123.87,BC,7.4,0,3.2,14.9,0,-2.9,0,0,0,0,149.9,0,119,0,13,,,NA,295.5,0,1025370
NANAIMO CITY YARD,49.199,-123.988,BC,,,NA,,,,,0,0,0,162.4,0,141,0,12,,,NA,,,10253G0
PORT HARDY A,50.681,-127.367,BC,6.7,0,NA,14.9,0,-2.9,0,0,0,NA,118.4,0,NA,,15,,,NA,316.2,0,1026271
QUALICUM BEACH AIRPORT,49.337,-124.394,BC,7.3,0,NA,14.8,0,-1.6,0,,,NA,125,0,NA,0,12,,,NA,299.5,0,1026562
QUALICUM R FISH RESEARCH,49.394,-124.617,BC,7.4,2,3.3,14.5,2,-1,2,0,2,NA,171.2,2,NA,0,11,,,NA,274.6,0,1026565
QUINSAM RIVER HATCHERY,50.016,-125.304,BC,7,0,3.2,15,0,-2.5,0,0,0,0,165.6,0,103,0,16,,,NA,308.6,0,1026639
SISTERS ISLAND,49.487,-124.435,BC,8.6,0,NA,14.2,0,4.5,0,,,NA,,,NA,,,,,NA,263.2,0,1027403
ENTRANCE ISLAND,49.209,-123.809,BC,8.3,6,NA,13,6,3.5,6,0,6,NA,107.2,6,NA,0,11,,,NA,213.6,0,102BFHH
ALBERNI ROBERTSON CREEK,49.337,-124.982,BC,7.2,3,4.1,18,3,-5,3,0,3,NA,139.4,3,NA,0,11,,,NA,271,0,1030230
CAPE BEALE LIGHT,48.786,-125.216,BC,9.5,1,3.5,15,1,4.5,1,0,1,NA,220.4,1,NA,0,14,,,NA,228.2,0,1031316
CARMANAH POINT,48.612,-124.751,BC,,,NA,,,,,0,0,0,210.8,0,69,0,16,,,NA,,,1031402
ESTEVAN POINT,49.383,-126.543,BC,8.9,0,2.9,13.5,0,2,0,0,0,0,237.3,0,76,0,15,,,NA,255.6,0,1032730
ESTEVAN POINT CS,49.383,-126.543,BC,8.7,0,NA,14,0,2.3,0,,,NA,223.3,0,NA,,16,,,NA,260.1,0,1032731
GOLD RIVER TOWNSITE,49.779,-126.055,BC,7.5,0,4.2,16,0,-3,0,0,0,0,286.2,0,100,0,15,,,NA,294.5,0,1033232
LENNARD ISLAND,49.111,-125.923,BC,9,2,NA,14,2,4,2,0,2,NA,192.1,2,NA,0,12,,,NA,234.4,0,1034600
NITINAT RIVER HATCHERY,48.859,-124.655,BC,8.5,2,3.7,16,2,-1.5,2,0,2,NA,406.6,2,NA,0,15,,,NA,248.1,0,1035612
NOOTKA LIGHTSTATION,49.6,-126.617,BC,9.1,0,3.3,13,0,4,0,0,0,0,274.8,0,84,0,15,,,NA,248.5,0,1035614
PACHENA POINT,48.723,-125.097,BC,9,0,3,14,0,1,0,0,0,0,279.8,0,94,0,17,,,NA,251.6,0,1035940
PORT ALBERNI COX LAKE,49.202,-124.752,BC,7.9,0,4.1,14.5,0,-2,0,0,0,0,311.3,0,144,0,15,,,NA,281.6,0,1036208
PORT ALICE,50.386,-127.455,BC,8.6,0,3.5,15,0,0,0,0,0,0,251,0,71,0,16,,,NA,262.2,0,1036240
QUATSINO,50.534,-127.653,BC,7.4,6,2.5,12,6,0,6,0,6,NA,102.8,6,NA,,11,,,NA,232.8,0,1036570
QUATSINO LIGHTSTATION,50.441,-128.033,BC,9.5,0,3.3,16,0,3.5,0,0,0,0,163.8,0,73,0,17,,,NA,238.4,0,1036572
PORT ALBERNI (AUT),49.317,-124.927,BC,7,2,NA,14.2,2,-3.4,1,,,NA,155.4,21,NA,,7,,,NA,286.1,0,1036B06
SARTINE ISLAND (AUT),50.821,-128.908,BC,8.4,0,NA,12,0,5.3,0,,,NA,138.8,2,NA,,15,,,NA,268.1,0,1037090
SOLANDER ISLAND (AUT),50.112,-127.94,BC,9,0,NA,13.9,0,4.9,0,,,NA,63.2,2,NA,,13,,,NA,253.4,0,1037553
TAHSIS VILLAGE NORTH,49.932,-126.654,BC,7.8,9,NA,14,9,-2,9,0,9,NA,395,9,NA,,13,,,NA,193.6,0,1037899
TOFINO A,49.082,-125.773,BC,8.5,0,3.1,14.8,0,-0.5,0,0,0,0,233.8,0,70,0,15,,,NA,265.4,0,1038205
UCLUELET KENNEDY CAMP,48.945,-125.527,BC,8.7,0,3.2,15,0,-1.5,0,0,0,0,250.2,0,71,0,16,,,NA,260.2,0,1038332
ZEBALLOS MURAUDE CREEK,50.053,-126.779,BC,8.2,0,NA,16.5,0,0,0,0,0,NA,424.6,0,NA,0,16,,,NA,273.6,0,1039035
GIBSONS GOWER POINT,49.386,-123.541,BC,8.4,0,3.2,13,0,3.5,0,0,0,0,125.4,0,101,0,15,,,NA,269.3,0,1043152
MERRY ISLAND LIGHTSTATION,49.468,-123.913,BC,8.4,0,2.7,13.5,0,3,0,0,0,0,105.6,0,115,0,11,,,NA,269.7,0,1045100
HOWE SOUND - PAM ROCKS,49.488,-123.299,BC,8.9,0,NA,14.1,0,4.9,0,,,NA,94.8,0,NA,,12,,,NA,256,0,10459NN
PENDER HARBOUR,49.634,-124.032,BC,,,NA,,,,,0,0,NA,160.1,0,NA,0,13,,,NA,,,1046115
PORT MELLON,49.526,-123.496,BC,8.2,0,NA,14.6,0,2.1,0,,,NA,477,0,NA,0,15,,,NA,274.7,0,1046332
POWELL RIVER A,49.834,-124.5,BC,7.1,0,3.2,12.6,0,-3.1,0,0,0,0,150.6,0,138,0,14,,,NA,304.5,0,1046391
POWELL RIVER,49.835,-124.497,BC,6.8,0,NA,12.3,0,-2.6,0,,,NA,128.4,1,NA,0,13,,,NA,314.1,0,1046392
SECHELT AUT,49.458,-123.715,BC,7.4,0,NA,14.2,0,-1.6,0,,,NA,122.4,0,NA,0,13,,,NA,297.2,0,1047172
SQUAMISH AIRPORT,49.783,-123.161,BC,7.1,0,NA,16,0,-2.2,0,,,NA,302.8,2,NA,0,11,,,NA,304.6,0,10476F0
CAPE ST JAMES,51.936,-131.016,BC,8.2,0,NA,12,0,3.5,0,,,NA,,,NA,,,,,NA,273.7,0,1051351
KINDAKUN ROCKS (AUT),53.316,-132.772,BC,8.2,0,NA,13.9,0,2.1,0,,,NA,75.8,5,NA,,10,,,NA,273.4,0,1054222
LANGARA,54.255,-133.058,BC,6.3,0,2.2,11,0,-0.2,0,7.6,0,58,154,0,110,0,17,,,NA,327.9,0,1054500
LANGARA ISLAND RCS,54.255,-133.058,BC,6.1,0,NA,10.9,0,-0.2,0,,,NA,142.9,3,NA,,13,,,NA,332.3,0,1054503
MASSET A,54,-132.167,BC,5.6,0,NA,12.9,0,-3.2,0,0.2,0,NA,105.4,0,NA,0,13,,,NA,346,0,1054925
ROSE SPIT (AUT),54.159,-131.661,BC,6.6,0,NA,11.1,0,-1.1,0,,,NA,62.6,20,NA,,6,,,NA,319.5,0,1056869
SANDSPIT A,53.254,-131.813,BC,6.5,0,2.4,12.5,0,-1,0,0,0,0,98.4,0,75,0,13,,,NA,321.7,0,1057050
SANDSPIT AIRPORT AUTO,53.25,-131.813,BC,6.6,0,NA,12.3,0,-0.5,0,,,NA,67.8,15,NA,,7,,,NA,318,0,1057051
SANDSPIT,53.254,-131.814,BC,6.6,2,NA,12.3,2,-0.6,2,,,NA,0,3,NA,,0,,,NA,297,0,1057052
ADDENBROKE ISLAND,51.604,-127.864,BC,7.7,0,2.7,14,0,2,0,0,0,0,258.2,0,97,0,17,,,NA,289.4,0,1060080
BELLA BELLA,52.185,-128.157,BC,5.5,1,NA,14.1,1,-3.9,1,,,NA,233.9,1,NA,,14,,,NA,337.8,0,1060815
BELLA COOLA A,52.388,-126.596,BC,4.7,0,2.6,14.5,0,-3.5,0,6,0,35,87.2,0,100,0,12,,,NA,373.2,0,1060841
BOAT BLUFF,52.643,-128.524,BC,7.2,0,3.3,13,0,2,0,0,0,0,516.8,0,121,0,17,,,NA,302.9,0,1060901
BONILLA ISLAND,53.493,-130.638,BC,7.7,0,2.7,12.5,0,2,0,0,0,0,183.6,0,104,0,14,,,NA,287.9,0,1060902
BONILLA ISLAND (AUT),53.493,-130.639,BC,7.4,0,NA,11.1,0,2,0,,,NA,114.2,2,NA,,11,,,NA,298,0,1060R0K
CATHEDRAL POINT (AUT),52.187,-127.471,BC,5.8,0,NA,11,0,0.3,0,,,NA,102.4,15,NA,,6,,,NA,341.5,0,1061458
CUMSHEWA ISLAND,53.03,-131.602,BC,7.6,0,NA,12.8,0,2.2,0,,,NA,,,NA,,,,,NA,290.4,0,1062251
DRYAD POINT,52.185,-128.112,BC,7,0,2.3,14.5,0,2,0,0,0,0,211,0,100,0,17,,,NA,307.7,0,1062544
EGG ISLAND,51.247,-127.835,BC,7.3,0,2.2,13,0,1,0,0,0,0,156.2,0,72,0,17,,,NA,299.4,0,1062646
GREEN ISLAND,54.569,-130.708,BC,5.8,0,2,10,0,0.5,0,0.4,0,4,243.6,0,140,0,15,,,NA,341.6,0,1063298
GREY ISLET (AUT),54.58,-130.698,BC,5.8,0,NA,10.2,0,0.5,0,,,NA,23,14,NA,,6,,,NA,342.6,0,1063303
HERBERT ISLAND (AUT),50.94,-127.632,BC,8.9,0,NA,12.5,0,4.6,0,,,NA,48.6,0,NA,,14,,,NA,253.5,0,1063461
HOLLAND ROCK,54.172,-130.361,BC,6.8,1,NA,12.1,1,1.2,1,,,NA,34.8,13,NA,,10,,,NA,303.5,0,1063496
IVORY ISLAND,52.27,-128.407,BC,7.2,0,2.3,13,0,2,0,0,0,0,246.8,0,127,0,16,,,NA,303.4,0,1063690
KEMANO,53.563,-127.943,BC,1.7,0,1.3,16.5,0,-5,0,156,0,455,249.4,0,146,40,17,,,NA,456.5,0,1064020
KITIMAT TOWNSITE,54.054,-128.634,BC,1.4,4,1.1,7,4,-5,4,8,4,NA,112,4,NA,0,9,,,NA,399,0,1064320
KITIMAT 2,54.01,-128.705,BC,2.2,11,1.3,10.5,10,-9,11,161,10,NA,190.9,10,NA,0,8,,,NA,269.3,0,1064321
LUCY ISLAND LIGHTSTATION,54.296,-130.609,BC,6.9,0,NA,11.3,0,0.8,0,,,NA,,,NA,,,,,NA,311.7,0,1064728
PRINCE RUPERT,54.286,-130.445,BC,5.5,0,NA,11.9,0,-2.6,0,,,NA,186.5,0,NA,,15,,,NA,349.5,0,1066482
PRINCE RUPERT MONT CIRC,54.32,-130.29,BC,,,NA,,,,,0,10,NA,222.8,10,NA,,15,,,NA,,,1066488
STEWART A,55.936,-129.985,BC,0.8,0,1.9,9.4,0,-11.5,0,47.8,0,56,105.4,0,77,20,11,,,NA,482.6,0,1067742
TERRACE PCC,54.502,-128.625,BC,1.4,0,1.2,11,0,-10.5,0,38.4,0,131,77.1,0,83,2,9,,,NA,464.9,0,1068131
TERRACE A,54.469,-128.578,BC,0.3,0,NA,8.3,0,-8,0,179.3,0,NA,191.5,1,NA,,11,,,NA,495.3,0,1068134
TRIPLE ISLAND,54.295,-130.88,BC,7.2,0,NA,12,0,1.5,0,0,0,NA,126.8,0,NA,0,14,,,NA,302.7,0,1068250
KITIMAT HATCHERY,54.044,-128.682,BC,2.1,11,NA,10.5,11,-7,11,102.3,11,NA,205,11,NA,36,9,,,NA,269.7,0,106D289
EQUITY SILVER,54.199,-126.277,BC,-5.6,0,1.1,8.5,0,-18,0,79.5,0,196,86.5,0,212,0,11,,,NA,661.2,0,1072692
HOUSTON,54.396,-126.668,BC,-1.9,7,NA,9.5,7,-16,7,5,8,NA,5,8,NA,0,1,,,NA,417.2,0,1073615
NASS CAMP,55.238,-129.03,BC,-0.7,0,1.6,10.5,0,-13.5,0,71,0,197,94.8,0,137,30,12,,,NA,524.7,0,1075384
SMITHERS,54.825,-127.183,BC,-2.7,0,NA,8.4,0,-17,0,,,NA,40.4,0,NA,,5,,,NA,580.5,0,1077499
SMITHERS A,54.825,-127.183,BC,-2.4,0,2,10.1,0,-17.4,0,41,0,175,52.4,0,224,25,9,,,NA,570.6,0,1077500
SMITHERS AIRPORT AUTO,54.824,-127.189,BC,-2.7,0,NA,8.9,0,-17.3,0,,,NA,45.2,0,NA,35,12,,,NA,578.9,0,1077501
SUSKWA VALLEY,55.289,-127.171,BC,-3.1,1,0.3,8,1,-14.5,1,28.3,1,NA,41.7,1,NA,28,7,,,NA,570.8,0,107G879
OOTSA L SKINS L SPILLWAY,53.772,-125.997,BC,-4.8,0,1.4,8.5,0,-19,0,72.4,0,343,79,0,332,,12,,,NA,638.2,0,1085835
OOTSA LAKESKINS LAKE CLIMATE,53.772,-125.997,BC,-4.2,0,NA,6.8,0,-18.8,0,,,NA,74.7,3,NA,57,10,,,NA,622.3,0,1085836
PEMBERTON AIRPORT CS,50.306,-122.734,BC,4.5,3,NA,14.8,3,-3.6,2,,,NA,113.8,3,NA,0,10,,,NA,337.3,0,1086082
PUNTZI MOUNTAIN (AUT),52.114,-124.136,BC,-3.2,0,NA,11.1,0,-21.3,0,,,NA,20.7,0,NA,33,7,,,NA,592.6,0,1086558
TATLAYOKO LAKE RCS,51.675,-124.403,BC,1,0,NA,12.9,0,-14.7,0,,,NA,39.9,0,NA,0,6,,,NA,476.4,0,1088015
BARKERVILLE,53.069,-121.515,BC,-2,0,3.8,8,0,-16,0,53.9,0,94,75.8,0,125,90,14,,,NA,560.6,0,1090660
BURNS LAKE DECKER LAKE,54.383,-125.959,BC,-4.6,0,NA,7.4,0,-19.4,0,,,NA,34.4,0,NA,63,9,,,NA,632,0,1091174
CRESCENT SPUR,53.6,-120.7,BC,-0.8,2,NA,9,2,-14.5,2,47.6,2,NA,65,2,NA,22,9,,,NA,489.7,0,1092120
FORT ST JAMES,54.455,-124.286,BC,-4.5,13,2.3,7.5,13,-21,13,9,13,NA,26.2,13,NA,,5,,,NA,337.8,0,1092970
FORT ST JAMES AUTO,54.455,-124.286,BC,-3.9,0,NA,7.6,0,-21,0,,,NA,45.6,2,NA,35,8,,,NA,613,0,1092975
HIXON,53.531,-122.699,BC,-0.3,6,3.5,8.5,6,-12.5,6,9.4,2,NA,30.6,2,NA,0,6,,,NA,402,0,1093474
HORSEFLY LAKE GRUHS LAKE,52.363,-121.364,BC,-0.9,11,3.1,12.5,11,-12.5,11,32.6,11,NA,51.8,11,NA,0,9,,,NA,321.4,0,1093600
MCLEESE LAKE FRASERVIEW,52.38,-122.374,BC,-0.2,0,2.8,11,0,-10,0,22,0,206,37.2,0,257,11,8,,,NA,509.6,0,1095015
MCLEESE LAKE GRANITE MT,52.531,-122.286,BC,-0.9,13,NA,9,9,-14,9,28.8,9,NA,50.9,9,NA,,8,,,NA,283.6,0,1095018
PRINCE GEORGE,53.884,-122.678,BC,-3,0,NA,7.3,0,-16.9,0,,,NA,30.4,0,NA,,8,,,NA,588.1,0,1096439
PRINCE GEORGE AIRPORT AUTO,53.889,-122.672,BC,-3,0,NA,7.2,0,-17.2,0,,,NA,33.6,0,NA,16,8,,,NA,588.2,0,1096453
PRINCE GEORGE STP,53.88,-122.768,BC,-1.4,5,2.3,14,5,-15,5,25.7,5,NA,34.3,5,NA,20,6,,,NA,446.3,0,1096468
QUESNEL,53.026,-122.51,BC,-0.1,4,NA,12.3,4,-12.2,3,,,NA,35.8,1,NA,,7,,,NA,433.2,0,1096629
QUESNEL AIRPORT AUTO,53.027,-122.506,BC,-1.7,0,NA,9.8,0,-13,0,,,NA,31.7,0,NA,25,6,,,NA,552.8,0,1096631
SPOKIN LAKE 4E,52.184,-121.686,BC,-1.1,0,4.3,11,0,-17,0,28,0,124,54.8,0,219,2,8,,,NA,533.9,0,1097646
WILLIAMS LAKE A,52.183,-122.054,BC,-0.7,0,NA,9.6,0,-14.8,0,31.1,0,NA,54.4,2,NA,7,10,,,NA,523.3,0,1098941
VANDERHOOF,54.033,-124.017,BC,-3.1,2,2.4,9,2,-16.5,2,24.8,2,NA,37.8,2,NA,0,8,,,NA,548.3,0,1098D90
108 MILE HOUSE ABEL LAKE,51.623,-121.263,BC,0.7,0,NA,11.5,0,-11.5,0,16,0,NA,34.4,0,NA,10,11,,,NA,485.5,0,109E7R6
ABBOTSFORD A,49.025,-122.36,BC,8.2,0,NA,15.4,0,-1.4,0,0,0,NA,111.4,1,NA,,14,,,NA,274.7,0,1100031
AGASSIZ RCS,49.243,-121.76,BC,8.6,0,2.7,16,0,-0.6,0,,,NA,124,1,NA,,14,,,NA,264.6,0,1100119
AGASSIZ CDA,49.243,-121.76,BC,8.9,2,3.8,16,1,-0.5,1,0,1,NA,168.8,1,NA,0,13,,,NA,236.6,0,1100120
WHISTLER - NESTERS,50.129,-122.955,BC,3.7,0,NA,12.8,0,-5,0,,,NA,124.4,0,NA,0,11,,,NA,399.8,0,1100875
BLACKCOMB BASE SLIDING CENTER,50.102,-122.936,BC,3.1,0,NA,11.6,0,-3.9,0,,,NA,172.8,3,NA,0,9,,,NA,417.1,0,1100881
BURNABY SIMON FRASER U,49.278,-122.918,BC,8.3,15,4.1,14,15,4.5,15,0,15,NA,150.7,15,NA,,10,,,NA,125.8,0,1101158
CALLAGHAN VALLEY,50.144,-123.111,BC,3.3,0,NA,12.4,0,-4.7,0,,,NA,246.3,0,NA,0,12,,,NA,411,0,1101300
COQUITLAM COMO LAKE AVE,49.269,-122.866,BC,,,NA,,,,,0,0,0,165.3,0,91,0,13,,,NA,,,1101889
CHILLIWACK R HATCHERY,49.08,-121.704,BC,6.6,0,3.1,16.5,0,-1.5,0,0,0,0,153.8,0,120,0,17,,,NA,318.4,0,1101N65
DELTA BURNS BOG,49.126,-123.002,BC,7.3,2,NA,14.8,2,-3.9,1,,,NA,88.9,2,NA,,12,,,NA,277.9,0,1102415
DELTA TSAWWASSEN BEACH,49.011,-123.093,BC,7.9,2,2.1,14,2,1.5,2,0,2,NA,70.6,2,NA,0,11,,,NA,261.8,0,1102425
FORT LANGLEY TELEGRAPH TRAIL,49.145,-122.551,BC,8.1,0,NA,15,0,-1,0,0,0,NA,116.6,0,NA,0,14,,,NA,276,0,1102912
HANEY UBC RF ADMIN,49.264,-122.573,BC,8,0,3.8,14,0,-1,0,0,0,0,192.9,0,96,0,14,,,NA,279.7,0,1103332
LAIDLAW,49.356,-121.579,BC,7.8,0,3.6,15,0,-1,0,0,0,0,198,0,102,0,16,,,NA,286.7,0,1104488
MISSION WEST ABBEY,49.153,-122.271,BC,8.1,0,3.5,15.5,0,2,0,0,0,0,151,0,94,0,16,,,NA,277,0,1105192
RICHMOND OPERATIONS CENTRE,49.182,-123.078,BC,,,NA,,,,,,,NA,100.8,0,NA,,12,,,NA,,,1105210
N VANC GROUSE MTN RESORT,49.381,-123.078,BC,3.6,9,3.7,8.5,9,-1,9,5,9,NA,202.7,9,NA,0,12,,,NA,273.2,0,1105658
N VANCOUVER WHARVES,49.315,-123.115,BC,,,NA,,,,,0,1,NA,147.2,1,NA,0,14,,,NA,,,1105669
PITT MEADOWS CS,49.208,-122.69,BC,8.2,1,NA,15.6,1,-2.5,0,,,NA,128.3,1,NA,,13,,,NA,264.7,0,1106178
POINT ATKINSON,49.33,-123.265,BC,7.6,0,NA,14.3,0,2.4,0,,,NA,112.4,0,NA,,13,,,NA,292.5,0,1106200
RICHMOND DALLYN 2,49.179,-123.087,BC,,,NA,,,,,0,0,NA,113.8,0,NA,0,12,,,NA,,,1106764
RICHMOND NATURE PARK,49.171,-123.093,BC,7.8,1,2.9,19.5,1,-3,1,0,1,NA,107.4,1,NA,0,12,,,NA,275.8,0,1106PF7
SANDHEADS CS,49.106,-123.303,BC,8.2,0,NA,13.6,0,3.7,0,,,NA,,,NA,,,,,NA,274.4,0,1107010
SUMAS CANAL,49.113,-122.11,BC,8.5,11,NA,16,7,1.5,7,0,7,NA,146.5,7,NA,,15,,,NA,161.8,0,1107785
VANCOUVER SEA ISLAND CCG,49.183,-123.187,BC,7.6,0,NA,14.4,0,-0.8,0,,,NA,94.6,0,NA,,13,,,NA,291.3,0,1108380
VANCOUVER INTL A,49.195,-123.184,BC,7.4,0,NA,14.3,0,-1.9,0,0,0,NA,113.4,0,NA,0,15,,,NA,296.4,0,1108395
VANCOUVER HARBOUR CS,49.295,-123.122,BC,8.5,0,NA,13.1,0,1.9,0,,,NA,130,0,NA,,13,,,NA,265.2,0,1108446
WEST VANCOUVER AUT,49.347,-123.193,BC,8.3,0,NA,13.7,0,1.7,0,,,NA,121.5,1,NA,,12,,,NA,270.8,0,1108824
WHISTLER ROUNDHOUSE,50.068,-122.947,BC,-1.2,0,NA,8,0,-10,0,59.1,0,NA,207.1,0,NA,144,11,,,NA,537.1,0,1108906
WHITE ROCK CAMPBELL SCIENTIFIC,49.018,-122.784,BC,9,0,NA,16.5,0,0.3,0,,,NA,94.8,11,NA,0,13,,,NA,252.2,0,1108910
N VAN SEYMOUR HATCHERY,49.438,-122.967,BC,6.8,3,3.8,13.5,3,-2,3,0,3,NA,178.1,3,NA,0,13,,,NA,280.9,0,110N666
HOPE A,49.368,-121.498,BC,7.8,0,NA,15,0,-1.2,0,,,NA,163.7,0,NA,,17,,,NA,286.2,0,1113542
